titre,artiste,formats,formats_discogs,year,labels,genres,styles
Lifeline,Roy Ayers Ubiquity,LP,Vinyl,1977,Polydor,Funk / Soul,"Jazz-Funk, Disco"
All-Amerikkkan Bada$$,Joey Bada$$,2LP,Vinyl,2017,Pro Era,Hip Hop,Conscious
2000,Joey Bada$$,2LP,Vinyl,2023,Pro Era,Hip Hop,"Boom Bap, Conscious, Jazzy Hip-Hop"
Let�s Start Here.,Lil Yachty,2LP,Vinyl,2023,Quality Control Music (2),"Rock, Funk / Soul, Pop","Psychedelic Rock, Space Rock, Psychedelic, Neo Soul"
New Beginning,SWV,2LP,Vinyl,1996,RCA,"Hip Hop, Funk / Soul",Contemporary R&B
Release Some Tension,SWV,2LP,Vinyl,1997,RCA,"Hip Hop, Funk / Soul",Contemporary R&B
Bubba,Kaytranada,2LP,Vinyl,2020,RCA,"Electronic, Hip Hop","Contemporary R&B, Hip Hop, House, Instrumental"
Jaguar II,Victoria Mon�t,LP,Vinyl,2023,RCA,"Funk / Soul, Pop","Contemporary R&B, Neo Soul, Psychedelic, Funk"
St. Louis Blues,"Eartha Kitt, Shorty Rogers And His Giants",LP,Vinyl,1984,RCA,"Jazz, Blues","Easy Listening, Big Band"
Timeless,Kaytranada,2LP,Vinyl,2024,RCA,"Electronic, Hip Hop, Funk / Soul, Pop","Contemporary R&B, House"
Enter The Wu-Tang (36 Chambers),Wu-Tang Clan,LP,Vinyl,1993,RCA Records Label,Hip Hop,"Boom Bap, Hardcore Hip-Hop"
Atavista,Childish Gambino,2LP,Vinyl,2024,RCA,"Hip Hop, Funk / Soul",Neo Soul
Bando Stone And The New World,Childish Gambino,2LP,Vinyl,2025,RCA,"Electronic, Hip Hop, Reggae, Funk / Soul, Pop, Stage & Screen","Pop Rap, Rhythm & Blues, Experimental, Trap, Neo Soul, Psychedelic, Soundtrack"
I Used To Know Her,H.E.R. (2),2LP,Vinyl,2024,RCA,"Hip Hop, Funk / Soul, Pop",Contemporary R&B
H.E.R.,H.E.R. (2),2LP,Vinyl,2017,RCA,"Electronic, Funk / Soul",Contemporary R&B
Paradise,Hamza (6),2LP,Vinyl,2023,Rec. 118,Hip Hop,Pop Rap
Living For The City,Zapp & Roger,LP,Vinyl,1996,Reprise Records,Funk / Soul,"Contemporary R&B, Funk, Hip Hop"
Spider-Man: Across The Spider-Verse (Soundtrack From And Inspired By The Motion Picture),Metro Boomin,2LP,Vinyl,2023,Republic Records,"Hip Hop, Stage & Screen","Soundtrack, Trap, Pop Rap"
Never Enough,Daniel Caesar (2),2LP,Vinyl,2023,Republic Records,Funk / Soul,Contemporary R&B
Not All Heroes Wear Capes,Metro Boomin,LP,Vinyl,2018,Republic Records,Hip Hop,Trap
House Of Balloons,The Weeknd,2CD,CD,2015,Republic Records,"Electronic, Hip Hop, Funk / Soul, Pop",Contemporary R&B
Beauty Behind The Madness,The Weeknd,2CD,CD,2015,Republic Records,"Hip Hop, Funk / Soul, Pop","Contemporary R&B, Soul"
